Measure,govtfund_1,p_govtfund_1,govtfund_2,p_govtfund_2,intent_composite,p_intent_composite,X1_intent,p_X1_intent,X2_intent,p_X2_intent,X3_intent,p_X3_intent,X4_intent,p_X4_intent
Self-relevance composite (9-item core),0.52,6.425949418872894e-22,0.26,1.1193830178348665e-5,0.53,2.0486742571116576e-23,0.44,1.4654914298231916e-15,0.51,2.1474171998313913e-21,0.4,4.095953841469067e-13,0.54,4.302336966774509e-24
Facet: Personal / close-other benefit,0.48,2.2230323495801836e-18,0.24,3.113894805218332e-5,0.47,1.0472522137139714e-17,0.39,4.510155826260905e-12,0.46,1.0610898077745835e-16,0.35,6.536279007540927e-10,0.47,1.37026435404026e-17
Facet: Tangible / everyday relevance,0.5,9.211628157500945e-20,0.3,3.2124570971086816e-7,0.28,9.084785557469228e-7,0.23,5.987188765887385e-5,0.31,3.03348965598653e-8,0.21,2.5626007605505707e-4,0.26,3.797581068506913e-6
Facet: Personal applicability / salience,0.17,0.002993463994544502,0.06,0.3108328616723479,0.46,3.04632483710856e-17,0.38,1.913122158394371e-11,0.38,1.4062345518710038e-11,0.38,1.25405466231316e-11,0.51,7.842312565195432e-21
